news,label
Rastriya Swatantra Party expels Mukul Dhakal,0
Principal dies in lightning strike,0
Salyan’s ‘Mini-Rara’ Kupinde in a state of neglect,0
Nepal doesn’t play one neighbour against the other: Oli,1
Two killed in motorcycle-car collision,0
Oman Foreign Minister Albusaidi arrives in Kathmandu,1
Stone fall kills Arun III worker in Sankhuwasabha,0
Woman arrested with illegal drugs in Birgunj,1
Mamata Kafle case: Family prepares to travel to US to get updates,1
National rights bodies to confer on gender inclusion,1
Midnight landslide kills six people| four more missing in remote village in Ramechhap district,0
47 Nepali pilgrims injured in Bihar bus accident,0
Omani Foreign Minister Albusaidi arriving in Kathmandu today,1
Six detained on gang-rape charge,1
Death toll in Ramechhap landslide rises to six,0
Ten injured as bus overturns in Chitwan,0
Two dead| eight missing in Ramechhap landslide,0
House panel’s ability to draw definite conclusion about cooperatives scam comes under question,0
Tigers major threat to rhino calves in Chitwan,0
Rights commission on board on transitional justice appointments,1
Three missing after vehicle plunges into Sunkoshi River,0
NRNA Australia recognised as philanthropic organisation,0
Bodies of 25 Indian nationals killed in Tanahun bus accident repatriated,1
India's minister of state Khadse visits hospital in Kathmandu to inquire about bus accident victims,1
India’s response to new Nepal coalition positive| says Foreign Minister Rana,1
Lamichhane tells House panel he had no hand in Gorkha Media finances,1
27 dead as Indian tourist bus plunges into Marsyangdi,0
The British College CEO named MD of the Year,1
195 killed in monsoon disasters this year,0
UNDP’s new resident representative Kyoko presents letter of credence,1
Avalanche blocks river in Mustang,0
25 injured after bus overturns in Chitwan,0
14 dead as Indian bus plunges into Marsyangdi River,0
Four Nepali nationals found dead trapped under debris in Rudraprayag,0
Thailand postpones BIMSTEC summit,0
For Nepali queer people| discrimination persists even after death,0
Nepal asks China to turn Pokhara airport loan into grant,1
Floods displace 800 families in Kailali as rains wreak havoc in several districts,0
Nepal lifts its ban on TikTok,1
Parliament passes transitional justice law amendments,0
Government lifts ban on TikTok,1
Government working to sign power trade deal with Bangladesh at earliest: Prime Minister Oli,1
Pedestrian killed in Rupandehi road accident,0
One killed in jeep accident in Humla,0
Landslide blocks Prithvi Highway,0
Buffalo kills tiger in Makawanpur,0
Landslides block Dang-Salyan-Surkhet and Kapurkot- Phalawang roads,0
Sri Lanka to allow visa free access to 35 countries including Nepal,1
In a year| MCC projects have made significant achievements| claim officials,1
Lumbini’s ‘smart refresh centres’ fall in limbo due to budget woes,0
Ministry unveils blueprint to ensure free education,1
Rajkumar Timilsina arrested in fake audio case,1
Traffic resumes on Nagdhunga-Naubise road,1
Two dead while cleaning well in Dang,0
Seven injured in Humla jeep crash,0
Stakeholders stress mobilising sufficient development finance to meet SDGs,0
Cooperatives probe panel close to completing its duty,1
Cybercrime cases spike in Nepal,0
Three global rights groups slam flaws in transitional justice law revision,0
Child dies from diarrhoea. Cholera confirmed in 58 others,0
Lumbini CM Acharya secures trust vote,1
Cabinet expansion deadlock stalls Koshi provincial assembly,1
Construction of Nepal art village begins at Chhampi,1
Landslide blocks Kaligandaki Corridor,0
Rural municipality vice chair killed in road accident,0
Twenty-eight earthquake-affected settlements in Jajarkot and Rukum West at risk of landslides,0
Half-a-million elderly obtained National ID in a month despite government’s U-turn,1
FM Rana meets Modi| Jaishankar,1
Foreign Minister Rana holds meeting with Indian counterpart Jaishankar,1
Seven die in landslides in Bajhang and Jajarkot,0
Man murdered in Sunsari,0
Police constable dies in a motorcycle accident,0
Dr Govinda KC moves Supreme Court seeking review of its verdict on granting affiliation to B & C College,1
Foreign Minister Rana meeting Modi| Jaishankar today,1
Loan shark victims continue to suffer as perpetrators exploit legal loopholes,0
House committee records statement of RSP joint general secretary Acharya,1
Two arrested with five kilograms of hashish in Kanchanpur,1
Man absconds after killing wife,0
Foreign Minister Rana leaves for five-day India visit,1
One dead in Rolpa landslide,0
